,name,timetable
0,1路上行,06:00-00:50
1,1路下行,06:00-00:47
2,2路上行,05:50-23:56
3,2路下行,06:00-00:00
4,4路上行,06:00-00:35
5,4路下行,06:00-00:37
6,6路上行,06:30-22:06
7,6路下行,06:30-22:10
8,8路上行,06:40-22:25
9,8路下行,06:40-22:28
10,10路上行,06:20-22:14
11,10路下行,06:20-22:15
12,15路上行,06:20-22:42
13,15路下行,06:20-22:40
14,16路上行,06:20-22:41
15,16路下行,06:20-22:40
16,17路上行,06:10-23:21
17,17路下行,06:00-23:23
18,25路上行,06:40-22:08
19,25路下行,06:40-22:08
20,30路上行,06:30-23:17
21,30路下行,06:30-23:19
22,43路上行,06:50-22:08
23,43路下行,06:50-22:07
24,47路上行,06:20-23:30
25,47路下行,06:10-23:27
26,53路上行,06:40-23:36
27,53路下行,06:40-23:38
28,57路上行,06:40-22:43
29,57路下行,06:40-22:43
30,64路上行,06:40-23:12
31,64路下行,06:40-23:12
32,70路上行,06:40-21:36
33,70路下行,06:40-21:38
34,72路上行,06:30-23:23
35,72路下行,06:30-23:22
36,74路上行,06:30-23:18
37,74路下行,06:30-23:16
38,78路上行,06:00-22:43
39,78路下行,06:00-22:45
40,82路上行,06:00-00:04
41,82路下行,06:00-00:02
42,83路上行,06:30-21:58
43,83路下行,06:30-21:58
44,91路上行,06:00-22:36
45,91路下行,06:00-22:35
46,99路上行,06:30-22:42
47,99路下行,06:30-22:44
48,101路,06:00-23:30
49,102路,06:00-23:30
50,106路上行,06:10-23:22
51,106路下行,06:10-23:23
52,111路上行,06:30-23:09
53,111路下行,06:30-23:08
54,118路上行,06:30-22:02
55,118路下行,06:30-22:02
56,141路上行,06:30-22:39
57,141路下行,06:30-22:40
58,143路上行,06:30-22:40
59,143路下行,06:30-22:40
60,174路上行,06:30-21:08
61,174路下行,06:30-21:08
62,187路上行,06:30-19:13
63,187路下行,06:30-19:12
64,198路上行,07:00-20:12
65,198路下行,07:00-20:14
66,198A路上行,06:10-22:54
67,198A路下行,06:10-22:52
68,208路上行,07:00-21:20
69,208路下行,07:00-21:22
70,210A路,06:00-21:46
71,210B路,06:30-22:26
72,211路上行,06:30-20:52
73,211路下行,06:30-20:53
74,218路上行,07:00-20:13
75,218路下行,07:00-20:12
76,229路上行,06:30-20:19
77,229路下行,06:30-20:20
78,239路上行,07:00-19:44
79,239路下行,07:00-19:44
80,243路上行,07:00-21:23
81,243路下行,07:00-21:24
82,257路上行,07:00-21:20
83,257路下行,07:00-21:20
84,258路上行,07:00-21:20
85,258路下行,07:00-21:20
86,261路上行,06:30-21:04
87,261路下行,06:30-21:04
88,322路上行,06:00-23:18
89,322路下行,06:00-23:18
90,334路上行,06:00-23:28
91,334路下行,06:00-23:29
92,358路上行,06:00-22:00
93,358路下行,06:00-21:59
94,523路上行,06:00-18:40
95,523路下行,06:00-18:40
96,537路上行,06:30-21:15
97,537路下行,06:30-21:13
98,716路上行,06:30-22:30
99,716路下行,06:30-22:29
100,720路上行,06:30-22:54
101,720路下行,06:30-22:54
102,727路上行,06:40-23:12
103,727路下行,06:40-23:15
104,727A路上行,07:00-19:49
105,727A路下行,07:00-19:49
106,735路上行,06:20-22:52
107,735路下行,06:20-22:52
108,736路上行,06:30-23:00
109,736路下行,06:30-23:00
110,752路上行,05:30-21:48
111,752路下行,05:50-21:50
112,759路上行,05:30-22:30
113,759路下行,05:30-22:26
114,G22路上行,07:00-08:26
115,G22路下行,07:00-08:26
116,G27路上行,07:30-08:00
117,G27路下行,07:30-08:00
118,G28路上行,07:00-07:48
119,G28路下行,07:00-07:50
120,G33路上行,07:30-18:55
121,G33路下行,07:30-18:55
122,G35路上行,07:20-08:18
123,G35路下行,07:20-08:18
124,G37路上行,07:30-18:42
125,G37路下行,07:30-18:42
126,G38路上行,06:45-21:47
127,G38路下行,06:45-21:45
128,G41路,07:30-09:22
129,G60路,07:00-19:10
130,G61路,07:20-08:06
131,G62路,08:00-18:42
132,G63路上行,07:30-08:24
133,G63路下行,07:30-08:24
134,G69路,07:30-08:05
135,G90路上行,07:00-09:14
136,G90路下行,07:00-09:15
137,G91路上行,07:00-22:00
138,G91路下行,07:00-22:00
139,G95路上行,06:30-07:50
140,G95路下行,06:30-07:50
141,N4路上行,23:30-06:00
142,N4路下行,23:30-06:00
143,N8路,22:30-01:30
144,N10路,22:30-01:24
145,N11路上行,23:30-05:56
146,N11路下行,23:30-05:56
147,N12路上行,23:10-06:18
148,N12路下行,23:10-06:18
149,N19路上行,23:00-06:00
150,N19路下行,23:00-06:00
151,N20路上行,23:00-05:53
152,N20路下行,23:00-05:56
153,N22路上行,23:00-05:47
154,N22路下行,23:00-05:46
155,N25路上行,23:00-06:00
156,N25路下行,23:00-06:00
157,N26路上行,23:30-05:55
158,N26路下行,23:30-05:55
159,N31路上行,22:40-06:04
160,N31路下行,22:40-06:04
161,K1路上行,06:30-22:50
162,K1路下行,06:30-22:50
163,K2路上行,06:30-22:25
164,K2路下行,06:30-22:26
165,K4路上行,06:15-22:05
166,K4路下行,06:15-22:06
167,K5路上行,06:30-23:40
168,K5路下行,06:30-23:40
169,K6路上行,06:20-23:01
170,K6路下行,06:20-23:04
171,K9路上行,06:00-23:13
172,K9路下行,06:00-23:12
173,K11路上行,06:00-22:49
174,K11路下行,06:00-22:48
